2020-09-13 09:39:10 install libsmartcols1:arm64 <none> 2.36-3
2020-09-13 09:39:10 status half-installed libsmartcols1:arm64 2.36-3
2020-09-13 09:39:10 status unpacked libsmartcols1:arm64 2.36-3
2020-09-13 09:39:11 install libss2:arm64 <none> 1.45.6-1
2020-09-13 09:39:11 status half-installed libss2:arm64 1.45.6-1
2020-09-13 09:39:11 status unpacked libss2:arm64 1.45.6-1
2020-09-13 09:39:11 install libstdc++6:arm64 <none> 10.2.0-5
2020-09-13 09:39:11 status half-installed libstdc++6:arm64 10.2.0-5
2020-09-13 09:39:11 status unpacked libstdc++6:arm64 10.2.0-5
2020-09-13 09:39:11 install libsystemd0:arm64 <none> 246.2-1
2020-09-13 09:39:11 status half-installed libsystemd0:arm64 246.2-1
2020-09-13 09:39:11 status unpacked libsystemd0:arm64 246.2-1
2020-09-13 09:39:12 install libtasn1-6:arm64 <none> 4.16.0-2
2020-09-13 09:39:12 status half-installed libtasn1-6:arm64 4.16.0-2
2020-09-13 09:39:12 status unpacked libtasn1-6:arm64 4.16.0-2
2020-09-13 09:39:12 install libtinfo6:arm64 <none> 6.2-1
2020-09-13 09:39:12 status half-installed libtinfo6:arm64 6.2-1
2020-09-13 09:39:12 status unpacked libtinfo6:arm64 6.2-1
2020-09-13 09:39:12 install libudev1:arm64 <none> 246.2-1
2020-09-13 09:39:12 status half-installed libudev1:arm64 246.2-1
2020-09-13 09:39:12 status unpacked libudev1:arm64 246.2-1
2020-09-13 09:39:13 install libunistring2:arm64 <none> 0.9.10-4
2020-09-13 09:39:13 status half-installed libunistring2:arm64 0.9.10-4
2020-09-13 09:39:13 status unpacked libunistring2:arm64 0.9.10-4
2020-09-13 09:39:13 install libuuid1:arm64 <none> 2.36-3
2020-09-13 09:39:13 status half-installed libuuid1:arm64 2.36-3
2020-09-13 09:39:13 status unpacked libuuid1:arm64 2.36-3
2020-09-13 09:39:13 install libzstd1:arm64 <none> 1.4.5+dfsg-4
2020-09-13 09:39:13 status half-installed libzstd1:arm64 1.4.5+dfsg-4
2020-09-13 09:39:13 status unpacked libzstd1:arm64 1.4.5+dfsg-4
2020-09-13 09:39:14 install login:arm64 <none> 1:4.8.1-1
2020-09-13 09:39:14 status half-installed login:arm64 1:4.8.1-1
2020-09-13 09:39:14 status unpacked login:arm64 1:4.8.1-1
2020-09-13 09:39:14 install logsave:arm64 <none> 1.45.6-1
2020-09-13 09:39:14 status half-installed logsave:arm64 1.45.6-1
2020-09-13 09:39:14 status unpacked logsave:arm64 1.45.6-1
2020-09-13 09:39:14 install lsb-base:all <none> 11.1.0
2020-09-13 09:39:14 status half-installed lsb-base:all 11.1.0
2020-09-13 09:39:15 status unpacked lsb-base:all 11.1.0
2020-09-13 09:39:15 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2020-09-13 09:39:15 status half-configured mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:15 status unpacked mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:15 status half-installed mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:15 status unpacked mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:15 install mount:arm64 <none> 2.36-3
2020-09-13 09:39:15 status half-installed mount:arm64 2.36-3
2020-09-13 09:39:15 status unpacked mount:arm64 2.36-3
2020-09-13 09:39:15 install ncurses-base:all <none> 6.2-1
2020-09-13 09:39:15 status half-installed ncurses-base:all 6.2-1
2020-09-13 09:39:16 status unpacked ncurses-base:all 6.2-1
2020-09-13 09:39:16 install ncurses-bin:arm64 <none> 6.2-1
2020-09-13 09:39:16 status half-installed ncurses-bin:arm64 6.2-1
2020-09-13 09:39:16 status unpacked ncurses-bin:arm64 6.2-1
2020-09-13 09:39:16 install passwd:arm64 <none> 1:4.8.1-1
2020-09-13 09:39:16 status half-installed passwd:arm64 1:4.8.1-1
2020-09-13 09:39:17 status unpacked passwd:arm64 1:4.8.1-1
2020-09-13 09:39:17 upgrade perl-base:arm64 5.30.3-4 5.30.3-4
2020-09-13 09:39:17 status half-configured perl-base:arm64 5.30.3-4
2020-09-13 09:39:17 status unpacked perl-base:arm64 5.30.3-4
2020-09-13 09:39:17 status half-installed perl-base:arm64 5.30.3-4
2020-09-13 09:39:18 status unpacked perl-base:arm64 5.30.3-4
2020-09-13 09:39:18 install sed:arm64 <none> 4.7-1
2020-09-13 09:39:18 status half-installed sed:arm64 4.7-1
2020-09-13 09:39:18 status unpacked sed:arm64 4.7-1
2020-09-13 09:39:19 install sysvinit-utils:arm64 <none> 2.96-4
2020-09-13 09:39:19 status half-installed sysvinit-utils:arm64 2.96-4
2020-09-13 09:39:19 status unpacked sysvinit-utils:arm64 2.96-4
2020-09-13 09:39:19 install tar:arm64 <none> 1.30+dfsg-7
2020-09-13 09:39:19 status half-installed tar:arm64 1.30+dfsg-7
2020-09-13 09:39:19 status unpacked tar:arm64 1.30+dfsg-7
2020-09-13 09:39:19 install tzdata:all <none> 2020a-1
2020-09-13 09:39:19 status half-installed tzdata:all 2020a-1
2020-09-13 09:39:21 status unpacked tzdata:all 2020a-1
2020-09-13 09:39:21 install util-linux:arm64 <none> 2.36-3
2020-09-13 09:39:21 status half-installed util-linux:arm64 2.36-3
2020-09-13 09:39:22 status unpacked util-linux:arm64 2.36-3
2020-09-13 09:39:22 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2
2020-09-13 09:39:22 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2
2020-09-13 09:39:22 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2
2020-09-13 09:39:22 startup packages configure
2020-09-13 09:39:22 configure lsb-base:all 11.1.0 <none>
2020-09-13 09:39:22 status unpacked lsb-base:all 11.1.0
2020-09-13 09:39:22 status half-configured lsb-base:all 11.1.0
2020-09-13 09:39:22 status installed lsb-base:all 11.1.0
2020-09-13 09:39:22 configure debian-archive-keyring:all 2019.1 <none>
2020-09-13 09:39:22 status unpacked debian-archive-keyring:all 2019.1
2020-09-13 09:39:22 status half-configured debian-archive-keyring:all 2019.1
2020-09-13 09:39:23 status installed debian-archive-keyring:all 2019.1
2020-09-13 09:39:23 configure libaudit-common:all 1:2.8.5-3 <none>
2020-09-13 09:39:23 status unpacked libaudit-common:all 1:2.8.5-3
2020-09-13 09:39:23 status half-configured libaudit-common:all 1:2.8.5-3
2020-09-13 09:39:23 status installed libaudit-common:all 1:2.8.5-3
2020-09-13 09:39:23 configure libsemanage-common:all 3.1-1 <none>
